age,party_reg_state,party_primary_state,density_rural,density_suburban,density_urban,sex,combined_ethnicity_4way,census_median_income,ppi,single,married,num_children,children_3plus,homeowner,renter,education,hasreligion,catholic,christian,bible_reader,interest_in_religion,donrever_1,liberal_donor,conservative_donor,contbrel_1,contbpol_1,contbhlt_1,blue_collar,farmer,professional_technical,retired,apparel_1,bookmusc_1,electrnc_1,boatownr_1,cat_1,environm_1,outdgrdn_1,outdoor_1,guns_1,golf_1,investor_1,veteran_1,expensive_items_1,cnty_pct_religious,cnty_pct_evangelical,suppdem
31,1,0,0,1,0,M,H,46817,85,1,0,3,1,1,0,no hs degree,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36641,0.1088788889,N
18,1,0,0,1,0,M,W,76144,62,0,1,0,0,1,0,bach degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5105188889,0.20952,Y
74,0,1,1,0,0,F,W,61925,29,0,1,0,0,1,0,high school,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.5521688889,0.43435,N
81,1,0,0,1,0,F,B,57888,51,0,1,0,0,1,0,bach degree,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4635,0.08112888889,Y
52,1,0,0,1,0,F,W,36301,41,0,1,0,0,1,0,bach degree,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0.28656,0.11259,N
32,1,0,1,0,0,M,W,73933,399,0,1,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.35761,0.07723888889,Y
55,1,0,0,1,0,F,W,34907,41,1,0,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2954488889,0.07726,N
47,0,1,1,0,0,F,W,50588,96,0,1,2,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.4123188889,0.3206488889,N
23,1,1,0,1,0,M,A,125000,74,1,0,0,0,0,1,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.63582,0.06778,N
64,1,1,0,1,0,M,W,62370,53,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4911388889,0.23671,N
77,1,0,1,0,0,F,W,48944,31,0,1,0,0,1,0,high school,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0.5906588889,0.08262888889,Y
78,0,1,0,1,0,F,W,20681,20,1,0,0,0,1,0,no hs degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76425,0.5871488889,N
59,1,1,0,1,0,F,W,110670,150,0,1,0,0,1,0,post graduate,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0.44816,0.08907888889,Y
64,1,0,0,1,0,M,B,35000,63,0,1,0,0,1,0,bach degree,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0.6695188889,0.5345188889,Y
66,1,1,1,0,0,F,W,45056,60,0,1,1,0,1,0,high school,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0.4495,0.2140988889,N
46,1,0,1,0,0,M,H,39825,59,0,1,0,0,1,0,no hs degree,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.4126988889,0.1579,Y
28,1,1,0,1,0,M,W,94813,114,0,1,0,0,1,0,bach degree,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0.52599,0.04713,N
57,1,1,1,0,0,M,W,82016,84,0,1,0,0,1,0,some college,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0.60236,0.16611,N
NA,0,1,1,0,0,F,B,62242,54,0,1,0,0,1,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6830488889,0.45072,Y
36,0,1,0,0,1,M,W,57801,112,0,1,1,0,1,0,bach degree,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.59621,0.08334888889,Y
53,1,0,0,1,0,M,W,74743,104,0,1,2,0,1,0,post graduate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0.35761,0.07723888889,N
57,0,1,0,1,0,F,W,42279,69,0,1,3,1,1,0,bach degree,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0.57286,0.1154,N
30,0,1,0,1,0,F,B,67580,72,1,0,0,0,0,1,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40423,0.1239,N
64,0,1,0,0,1,F,H,26352,51,0,1,0,0,1,0,NA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56435,0.1682588889,Y
70,1,1,0,1,0,M,B,56392,14,0,1,0,0,1,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0.45567,0.20775,N
46,0,0,0,1,0,M,B,13615,54,0,1,1,0,1,0,no hs degree,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.43311,0.10106,N
83,1,1,1,0,0,F,W,64400,44,0,1,0,0,0,0,post graduate,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.4198888889,0.2446288889,Y
47,0,1,0,1,0,F,W,59472,19,0,1,2,0,1,0,bach degree,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0.3693788889,0.1951988889,Y
73,0,1,0,1,0,M,W,63724,124,1,0,0,0,1,0,some college,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.37643,0.15271,N
55,0,0,0,1,0,F,W,80433,132,0,1,0,0,1,0,bach degree,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0.42331,0.1454688889,N
78,1,1,1,0,0,F,W,75000,29,0,1,0,0,1,0,high school,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0.43005,0.03500888889,N
25,1,0,0,1,0,M,H,23708,39,1,0,0,0,0,1,no hs degree,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2954488889,0.07726,Y
63,0,1,1,0,0,M,B,38018,59,0,1,0,0,1,0,some college,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0.5767688889,0.3295188889,Y
34,1,1,0,1,0,F,W,118519,146,0,1,0,0,1,0,post graduate,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0.48106,0.02926,Y
80,1,0,0,0,1,F,W,45810,51,0,1,0,0,1,0,bach degree,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.35761,0.07723888889,Y
88,0,0,1,0,0,M,W,63258,26,0,1,0,0,1,0,high school,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0.54683,0.23455,N
27,0,0,0,1,0,M,W,132356,185,0,1,0,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0.51661,0.16278,N
77,1,0,0,1,0,F,W,43647,29,0,1,2,0,1,0,bach degree,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0.34887,0.1782588889,N
34,0,1,0,1,0,F,B,63536,89,0,1,0,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.56435,0.1682588889,Y
51,0,0,1,0,0,F,W,36520,51,0,1,2,0,1,0,high school,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.23683,0.1350688889,N
48,1,0,0,1,0,F,W,64659,144,0,1,0,0,1,0,high school,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0.4211388889,0.02401,N
81,1,0,0,0,1,M,H,47739,14,0,1,0,0,1,0,high school,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3975788889,0.1088788889,N
64,1,1,1,0,0,M,W,47630,18,0,1,0,0,1,0,high school,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0.36598,0.1998488889,N
66,0,1,0,1,0,F,B,44621,63,0,1,0,0,1,0,high school,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.658,0.2220388889,Y
48,0,1,0,1,0,M,W,102869,74,0,1,2,0,1,0,post graduate,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0.59969,0.41311,N
29,0,1,0,1,0,F,A,67337,62,0,1,0,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45536,0.2425688889,Y
51,1,0,0,1,0,M,B,72715,118,0,1,0,0,1,0,some college,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.48517,0.10859,Y
60,1,0,1,0,0,M,W,41765,45,0,1,0,0,1,0,bach degree,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0.7438988889,0.23231,N
63,1,1,0,1,0,M,W,44812,195,1,0,0,0,1,0,high school,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3647688889,0.0844,N
31,1,1,0,1,0,F,W,120289,175,0,1,0,0,1,0,bach degree,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0.59695,0.05275888889,N
45,0,1,0,1,0,F,W,30716,96,0,1,2,0,1,0,bach degree,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0.4728988889,0.2730788889,N
56,1,0,0,0,1,F,B,76544,105,0,1,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.6712888889,0.0298,Y
34,1,0,1,0,0,F,W,36785,47,0,1,0,0,1,0,post graduate,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0.21877,0.20384,N
77,0,0,0,1,0,F,B,20105,13,0,1,0,0,1,0,some college,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.5280188889,0.2290088889,Y
35,0,1,1,0,0,M,W,52795,54,0,1,0,0,0,1,high school,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.65532,0.1032688889,N
60,1,1,1,0,0,F,B,45135,62,1,0,0,0,1,0,high school,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0.4641388889,0.1827588889,Y
32,0,0,0,1,0,M,W,16581,34,0,1,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0.32049,0.13152,N
23,1,1,0,1,0,F,W,102836,100,1,0,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.63582,0.06778,Y
70,1,1,1,0,0,M,W,69158,53,0,1,0,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0.43917,0.09767,Y
66,1,1,0,0,1,F,H,95342,99,0,1,0,0,1,0,some college,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0.5310388889,0.08296888889,Y
39,1,1,0,0,1,M,H,33961,116,0,1,0,0,1,0,some college,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5310388889,0.08296888889,Y
45,0,1,0,0,1,M,B,61303,51,0,1,2,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40423,0.1239,Y
76,0,0,1,0,0,F,W,67805,63,0,1,0,0,1,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.47006,0.22115,N
43,1,1,0,1,0,F,H,51640,71,1,0,2,0,1,0,post graduate,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.47873,0.1020988889,Y
31,1,0,0,1,0,F,W,54002,58,0,1,0,0,0,0,high school,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25318,0.1912588889,N
78,1,0,0,0,1,F,W,83584,29,0,1,0,0,1,0,bach degree,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0.3522788889,0.1530988889,N
47,1,0,0,1,0,M,W,56400,89,0,1,5,1,1,0,some college,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.57383,0.05378888889,Y
33,1,0,0,1,0,F,H,63689,64,0,1,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.2182588889,0.09167,Y
52,0,0,1,0,0,F,W,59175,20,0,1,0,0,1,0,no hs degree,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0.4546888889,0.16343,Y
28,1,0,0,1,0,M,W,48364,84,0,1,0,0,0,1,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4688988889,0.1332888889,Y
61,0,1,1,0,0,M,W,37516,78,0,1,1,0,1,0,high school,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.50967,0.35854,N
25,1,1,0,0,1,F,H,47042,65,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.54572,0.02696,Y
21,1,0,0,1,0,M,W,153506,151,0,1,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0.5105188889,0.20952,N
48,1,1,0,1,0,F,W,32786,51,1,0,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.2597788889,0.10878,N
34,0,0,0,1,0,F,B,44251,48,0,1,0,0,1,0,bach degree,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.4790888889,0.08257888889,N
24,0,1,0,1,0,M,W,85468,74,0,1,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0.66,0.3883,Y
70,1,0,1,0,0,F,W,48687,26,1,0,0,0,1,0,some college,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0.24074,0.04888,N
24,1,1,0,1,0,F,A,71155,67,0,1,1,0,1,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.37073,0.1110988889,Y
62,1,0,1,0,0,M,W,37608,88,0,1,0,0,1,0,bach degree,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.1844088889,0.04389,Y
59,1,1,0,1,0,F,H,29182,70,1,0,0,0,0,1,no hs degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2935888889,0.07828,N
36,1,0,1,0,0,M,W,32579,74,0,1,0,0,1,0,high school,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.2661288889,0.22615,N
75,0,1,1,0,0,M,W,46914,23,0,1,0,0,1,0,high school,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0.45016,0.05889888889,Y
39,0,1,0,1,0,F,W,95153,126,0,1,2,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5521388889,0.3010788889,Y
44,1,1,0,1,0,F,W,51800,72,0,1,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.51461,0.1036088889,N
60,1,1,0,0,1,F,B,41049,44,0,1,1,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0.5641488889,0.08443,Y
65,0,1,0,1,0,F,W,44088,195,0,1,0,0,1,0,post graduate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0.73597,0.36831,Y
84,1,0,1,0,0,M,W,45899,13,0,1,0,0,1,0,some college,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0.27391,0.18208,N
45,0,1,0,1,0,F,W,94275,122,0,1,1,0,1,0,post graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0.38647,0.19765,N
49,1,1,0,1,0,M,W,235171,300,0,1,0,0,1,0,bach degree,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0.63582,0.06778,N
36,0,1,0,1,0,M,H,64744,63,0,1,0,0,1,0,post graduate,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.58395,0.26324,Y
88,1,0,0,1,0,M,W,44058,51,0,1,0,0,1,0,high school,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.72108,0.03945,N
89,1,1,0,0,1,F,H,39399,13,0,1,0,0,1,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.5310388889,0.08296888889,Y
62,0,0,0,0,1,M,W,39896,51,0,1,0,0,1,0,post graduate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.43311,0.10106,N
47,1,1,0,1,0,M,H,26916,56,0,1,1,0,1,0,no hs degree,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4073788889,0.12051,N
65,0,1,0,0,1,F,B,18124,13,0,1,0,0,1,0,bach degree,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0.59621,0.08334888889,Y
56,1,0,1,0,0,F,W,48445,139,0,1,0,0,0,1,some college,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0.6688988889,0.05334,N
38,0,1,0,1,0,M,W,79743,78,0,1,1,0,1,0,high school,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0.51647,0.1075688889,N
70,1,1,0,0,1,F,W,53787,16,1,0,0,0,1,0,high school,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.54572,0.02696,N
86,1,0,0,0,1,M,W,42954,91,0,1,0,0,1,0,post graduate,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0.5157688889,0.05245,N
70,0,1,1,0,0,M,W,41623,87,0,1,1,0,1,0,some college,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0.4870688889,0.44972,N
21,0,1,0,1,0,F,W,67507,59,0,1,1,0,1,0,some college,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.5196288889,0.09845,N
36,0,1,0,1,0,M,H,49135,78,0,1,1,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.57725,0.10873,N
48,0,0,0,1,0,F,W,43931,100,0,1,0,0,1,0,some college,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6396588889,0.18278,N
44,1,1,0,1,0,F,H,48886,56,0,1,2,0,0,1,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4646288889,0.2856,Y
69,1,1,1,0,0,F,W,64663,29,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52586,0.1331688889,Y
47,1,0,0,1,0,F,H,66568,100,0,1,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2954488889,0.07726,Y
60,0,1,0,1,0,F,W,49068,84,0,1,0,0,1,0,high school,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0.4854588889,0.1744088889,N
55,0,1,1,0,0,F,W,28177,49,0,1,0,0,1,0,high school,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0.2845088889,0.1037188889,N
39,1,0,0,0,1,F,W,36034,77,0,1,1,0,0,1,bach degree,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5157688889,0.05245,Y
25,1,1,0,0,1,M,W,46901,85,0,1,1,0,1,0,bach degree,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0.39986,0.1196588889,N
64,1,1,0,1,0,M,H,31762,44,0,1,0,0,1,0,high school,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0.4046888889,0.15306,Y
31,0,1,0,1,0,F,W,48832,70,0,1,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.3143788889,0.13361,Y
38,1,0,0,1,0,M,W,38987,94,0,1,0,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.40706,0.17409,N
62,1,0,0,0,1,M,W,84208,62,0,1,0,0,1,0,post graduate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0.54757,0.24308,N
